n_noise_features,repetition,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
0,0,0.908373786407767,0.8972491909385113,0.8658980582524272,0.8456715210355986,0.8960355987055015,0.9093851132686085
0,1,0.9111043689320389,0.8972491909385113,0.8658980582524272,0.8719660194174756,0.8960355987055015,0.9073624595469256
0,2,0.8621561488673138,0.8972491909385113,0.8658980582524272,0.8776294498381877,0.8960355987055015,0.9079692556634305
0,3,0.9144417475728155,0.8972491909385113,0.8658980582524272,0.8574029126213591,0.8960355987055015,0.9093851132686085
0,4,0.9015978964401294,0.8972491909385113,0.8658980582524272,0.9162621359223301,0.8960355987055015,0.9091828478964402
0,5,0.8626618122977346,0.8972491909385113,0.8658980582524272,0.890574433656958,0.8960355987055015,0.9081715210355987
0,6,0.8766181229773462,0.8972491909385113,0.8658980582524272,0.8857200647249192,0.8960355987055015,0.9087783171521036
0,7,0.8663025889967637,0.8972491909385113,0.8658980582524272,0.8921925566343042,0.8960355987055015,0.9079692556634305
0,8,0.9094862459546926,0.8972491909385113,0.8658980582524272,0.8913834951456311,0.8960355987055015,0.908373786407767
0,9,0.8376820388349515,0.8972491909385113,0.8658980582524272,0.8764158576051779,0.8960355987055015,0.9079692556634305
4,0,0.9108009708737863,0.854368932038835,0.8555825242718447,0.9199029126213591,0.8240291262135923,0.8921925566343042
4,1,0.9064522653721683,0.8782362459546926,0.8723705501618124,0.8610436893203883,0.8569983818770227,0.8998786407766991
4,2,0.8381877022653721,0.8120954692556634,0.81957928802589,0.8424352750809061,0.7894417475728156,0.8768203883495146
4,3,0.9082726537216828,0.8260517799352751,0.8313106796116504,0.8828883495145631,0.8066343042071198,0.8974514563106796
4,4,0.8687297734627831,0.8584142394822007,0.8531553398058251,0.8754045307443366,0.8163430420711975,0.8855177993527508
4,5,0.8877427184466019,0.8663025889967638,0.8618527508090614,0.8491100323624595,0.8383899676375404,0.9016990291262136
4,6,0.8488066343042071,0.8286812297734627,0.8230177993527508,0.7797330097087378,0.7702265372168284,0.8826860841423947
4,7,0.8615493527508091,0.8422330097087378,0.8428398058252428,0.8739886731391586,0.7888349514563107,0.8853155339805825
4,8,0.9103964401294499,0.8798543689320388,0.8836974110032364,0.8972491909385113,0.8703478964401294,0.8952265372168285
4,9,0.6564522653721684,0.8695388349514562,0.8729773462783171,0.8307038834951457,0.8561893203883496,0.8984627831715211
8,0,0.9027103559870551,0.8108818770226537,0.8270631067961165,0.8539644012944984,0.8129045307443366,0.8594255663430421
8,1,0.8973503236245954,0.7661812297734628,0.7829692556634305,0.9122168284789645,0.7465614886731391,0.8414239482200647
8,2,0.8358616504854369,0.8185679611650485,0.8129045307443366,0.8703478964401294,0.7688106796116505,0.8640776699029127
