n_noise_features,repetition,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
0,0,0.8871428571428571,0.8990476190476191,0.9019047619047619,0.8219047619047619,0.8590476190476191,0.7095238095238096
0,1,0.9319047619047619,0.8990476190476191,0.9019047619047619,0.8209523809523809,0.8590476190476191,0.696190476190476
0,2,0.8728571428571428,0.8990476190476191,0.9019047619047619,0.877142857142857,0.8590476190476191,0.5942857142857143
0,3,0.9242857142857143,0.8990476190476191,0.9019047619047619,0.8123809523809524,0.8590476190476191,0.5942857142857143
0,4,0.8876190476190476,0.8990476190476191,0.9019047619047619,0.8333333333333333,0.8590476190476191,0.702857142857143
0,5,0.9642857142857143,0.8990476190476191,0.9019047619047619,0.8114285714285715,0.8590476190476191,0.7104761904761905
0,6,0.9395238095238095,0.8990476190476191,0.9019047619047619,0.798095238095238,0.8590476190476191,0.7057142857142857
0,7,0.9328571428571428,0.8990476190476191,0.9019047619047619,0.8304761904761906,0.8590476190476191,0.7123809523809523
0,8,0.89,0.8990476190476191,0.9019047619047619,0.7895238095238095,0.8590476190476191,0.7180952380952382
0,9,0.888095238095238,0.8990476190476191,0.9019047619047619,0.8295238095238093,0.8590476190476191,0.7171428571428571
4,0,0.930952380952381,0.8847619047619049,0.8933333333333334,0.8123809523809523,0.8380952380952381,0.6942857142857143
4,1,0.8900000000000001,0.9076190476190475,0.8971428571428572,0.8333333333333333,0.8704761904761905,0.7476190476190475
4,2,0.9633333333333334,0.8742857142857142,0.8857142857142857,0.8371428571428571,0.8333333333333334,0.6742857142857143
4,3,0.9252380952380952,0.9047619047619048,0.9076190476190477,0.8914285714285715,0.8676190476190477,0.7714285714285715
4,4,0.8609523809523809,0.8895238095238096,0.8952380952380952,0.8590476190476191,0.8533333333333333,0.7133333333333333
4,5,0.9214285714285714,0.8904761904761904,0.9038095238095237,0.881904761904762,0.8628571428571428,0.7304761904761905
4,6,0.9566666666666667,0.8790476190476191,0.8828571428571428,0.8161904761904761,0.8314285714285715,0.6923809523809523
4,7,0.9442857142857143,0.9,0.8980952380952381,0.8590476190476191,0.8552380952380954,0.7161904761904763
4,8,0.8919047619047619,0.8761904761904762,0.8961904761904762,0.8085714285714284,0.8285714285714285,0.7047619047619048
4,9,0.9566666666666667,0.8742857142857143,0.878095238095238,0.7923809523809524,0.8095238095238095,0.6695238095238094
8,0,0.9361904761904762,0.878095238095238,0.8828571428571429,0.8171428571428572,0.8485714285714285,0.6961904761904761
8,1,0.9038095238095238,0.86,0.8799999999999999,0.8152380952380952,0.8257142857142856,0.6504761904761905
8,2,0.950952380952381,0.8704761904761905,0.8942857142857142,0.7295238095238096,0.8323809523809524,0.6714285714285714
8,3,0.9395238095238095,0.900952380952381,0.9114285714285714,0.8742857142857143,0.8495238095238095,0.7219047619047619
8,4,0.9380952380952381,0.8809523809523809,0.8933333333333333,0.7923809523809523,0.8476190476190476,0.6933333333333334
8,5,0.9342857142857143,0.878095238095238,0.8828571428571428,0.8123809523809523,0.8085714285714286,0.6514285714285714
8,6,0.930952380952381,0.8847619047619047,0.8971428571428572,0.8561904761904762,0.8447619047619047,0.7314285714285714
8,7,0.9528571428571428,0.8876190476190476,0.897142857142857,0.8571428571428571,0.84,0.7
8,8,0.9528571428571428,0.8857142857142857,0.9038095238095236,0.8495238095238096,0.8571428571428572,0.6876190476190476
8,9,0.9547619047619048,0.858095238095238,0.8771428571428572,0.8304761904761905,0.8028571428571428,0.6485714285714286
12,0,0.9261904761904762,0.9019047619047618,0.9114285714285715,0.9057142857142857,0.8761904761904762,0.8057142857142856
12,1,0.9447619047619047,0.8761904761904762,0.8942857142857142,0.84,0.84,0.6704761904761904
12,2,0.9495238095238095,0.900952380952381,0.9123809523809524,0.8685714285714285,0.8742857142857143,0.7457142857142857
12,3,0.9261904761904761,0.8714285714285713,0.8790476190476191,0.8952380952380952,0.8333333333333334,0.660952380952381
12,4,0.9038095238095238,0.8657142857142857,0.8847619047619047,0.8066666666666666,0.8190476190476189,0.6761904761904761
12,5,0.9461904761904762,0.8714285714285714,0.8904761904761904,0.8285714285714286,0.8142857142857143,0.7619047619047619
