n_noise_features,repetition,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
40,2,0.6011695082429195,0.502324926025081,0.4848527546850782,0.47174862618007607,0.5169790052134705,0.45357193180216987
40,3,0.5,0.5567141045512188,0.5612230519938002,0.5331830350852472,0.5796815555868677,0.5002113569113711
40,4,0.6297026912780048,0.4992954769620967,0.5128927715936311,0.4904889389883049,0.5241651402000845,0.4744258137241088
40,5,0.5923629702691278,0.4488516274482176,0.45131745808087925,0.4792165703818515,0.5003522615189516,0.4527265041566859
40,6,0.5806678878399324,0.46963505706636605,0.46329434972523603,0.45174017190362126,0.5302240383260532,0.46766239256023673
40,7,0.5952515147245315,0.5219106664787938,0.5230379033394392,0.5054248273918558,0.52529237706073,0.4576581654220093
40,8,0.6096237846977596,0.5062702550373397,0.4813301394955615,0.4721713400028181,0.5064111596449204,0.4513174580808792
40,9,0.48886853600112723,0.47625757362265747,0.46864872481330144,0.4782302381287868,0.504438495138791,0.4384951387910385
44,0,0.6177962519374384,0.4437086092715231,0.44018599408200654,0.4948569818233056,0.4844300408623362,0.4525855995491052
44,1,0.5504438495138791,0.5072565872904045,0.503170353670565,0.48781175144427225,0.5298013245033113,0.4711850077497534
44,2,0.6447794842891362,0.4742849091165281,0.4816119487107229,0.4859799915457235,0.5147245314921798,0.45286740876426657
44,3,0.5,0.46618289418063974,0.47217134000281813,0.4678032971678175,0.49584331407637033,0.4568127377765253
44,4,0.6268845991263914,0.5473439481471044,0.5488234465267015,0.534169367338312,0.5840495984218684,0.4840073270395942
44,5,0.6027899112300973,0.46561927575031703,0.4782302381287868,0.4303226715513597,0.4859799915457235,0.4346907143863604
44,6,0.6000422713822742,0.47358038607862474,0.4676623925602367,0.4851345639002395,0.495138791038467,0.45216288572636326
44,7,0.5796815555868677,0.4754825982809638,0.4847118500774975,0.464985205016204,0.5254332816683105,0.43680428350007044
44,8,0.6437931520360716,0.5064111596449204,0.49908412005072567,0.47837114273636744,0.5264196139213753,0.4835846132168522
44,9,0.6254755530505848,0.45829223615612236,0.4556855009158799,0.4442722277018459,0.462871635902494,0.424686487248133
48,0,0.6108214738621953,0.5224742849091165,0.5247287586304072,0.5193743835423419,0.5667183316894462,0.48175285331830353
48,1,0.5634775257150908,0.490911652811047,0.48443004086233615,0.48400732703959415,0.501056784556855,0.4562491193462026
48,2,0.6274482175567142,0.5084542764548401,0.5151472453149217,0.4872481330139496,0.5560095815133155,0.48682541919120753
48,3,0.5,0.5179653374665352,0.5100746794420177,0.5147245314921798,0.5403691700718614,0.49246160349443424
48,4,0.6400591799351838,0.4556855009158799,0.45963082992813864,0.48006199802733546,0.5207834296181486,0.47301676764830214
48,5,0.5949697055093701,0.46576018035789774,0.46780329716781743,0.5035930674933071,0.49189798506411153,0.46695786952233337
48,6,0.5726363252078343,0.48443004086233615,0.46357615894039733,0.4727349584331408,0.49739326475975765,0.4556855009158799
48,7,0.6001831759898549,0.49866140622798366,0.497252360152177,0.4830209947865295,0.536705650274764,0.46188530364942937
48,8,0.6057489079892913,0.49415245878540226,0.5047203043539523,0.4952796956460476,0.5216288572636325,0.4625898266873327
48,9,0.498097787797661,0.4624489220797521,0.46723967873749467,0.4294772439058757,0.5034521628857265,0.4279272932224884
52,0,0.609905593912921,0.4459630829928139,0.4489220797520079,0.459067211497816,0.48259828096378754,0.4303226715513597
52,1,0.539453290122587,0.5088065379737917,0.5182471466816965,0.4864027053684655,0.5416373115400873,0.4492038889671692
52,2,0.6449908412005073,0.5269832323516979,0.52529237706073,0.5154290545300831,0.5507961110328308,0.499365929265887
52,3,0.5,0.5358602226292799,0.5265605185289559,0.5462871635902494,0.5682682823728336,0.5038748767084683
52,4,0.6184303226715513,0.4800619980273355,0.4856981823305622,0.47132591235733406,0.5123291531633084,0.4580808792447513
52,5,0.6114555445963084,0.4943638156967733,0.4969705509370156,0.5138791038466958,0.5214879526560519,0.464985205016204
52,6,0.5846836691559814,0.5486825419191207,0.5558686769057348,0.5088065379737917,0.5571368183739608,0.48654360997604623
52,7,0.5933493025221925,0.5192334789347612,0.5079611103283077,0.5278286599971819,0.5226151895166973,0.4761166690150768
52,8,0.6304776666196984,0.4856981823305622,0.5011976891644356,0.48485275468507816,0.5141609130618572,0.4699168662815274
52,9,0.4916161758489503,0.4211638720586163,0.4201775398055516,0.4535719318021699,0.4639988727631394,0.41228688178103423
56,0,0.6072988586726785,0.48689587149499786,0.45991263914329994,0.49795688319008036,0.5205016204029872,0.44892207975200793
56,1,0.5708750176130759,0.5205016204029872,0.5081020149358885,0.5670001409046076,0.5502324926025082,0.4813301394955615
56,2,0.6595040157813159,0.5380442440467803,0.5254332816683105,0.504861208961533,0.5519233478934761,0.4979568831900803
56,3,0.5,0.48048471185007746,0.4917570804565309,0.4556855009158799,0.5096519656192757,0.43398619134845706
56,4,0.6346343525433282,0.5233197125546005,0.5188107651120191,0.5414964069325067,0.5500915879949274,0.5021840214175003
56,5,0.5694659715372693,0.49225024658306327,0.48175285331830353,0.4694941524587854,0.5210652388333099,0.4486402705368466
