n_noise_features,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
0,0.9953051643192488,0.9976525821596244,0.9988262910798122,0.9976525821596244,0.9988262910798122,0.9976525821596244
4,0.9988262910798122,1.0,0.9988262910798122,0.9906103286384977,0.9976525821596244,0.9964788732394366
8,0.994131455399061,0.9988262910798121,0.9988262910798122,0.9988262910798122,0.9988262910798122,0.9964788732394366
12,0.9988262910798121,0.9964788732394366,0.9976525821596244,0.9976525821596244,0.9976525821596244,0.9964788732394366
16,0.9941314553990611,0.9964788732394366,0.9976525821596244,0.9976525821596244,0.9964788732394366,0.9964788732394366
20,0.9976525821596245,1.0,1.0,0.9988262910798122,1.0,0.9976525821596244
24,1.0,0.9964788732394365,0.9953051643192489,0.9753521126760563,0.9917840375586854,0.9941314553990611
28,0.9929577464788732,0.9988262910798122,1.0,0.9976525821596244,0.9988262910798122,0.9964788732394366
32,0.9976525821596245,0.9988262910798122,0.9976525821596244,0.9753521126760563,0.9988262910798122,0.9976525821596244
36,1.0,0.9988262910798122,0.9976525821596244,0.9859154929577465,0.9976525821596244,0.9976525821596244
40,1.0,0.9988262910798122,0.9976525821596244,0.9859154929577465,0.9964788732394366,0.9953051643192489
44,1.0,1.0,1.0,0.9765258215962441,1.0,0.9976525821596244
48,1.0,0.994131455399061,0.9929577464788732,0.994131455399061,0.9847417840375587,0.9941314553990611
52,0.9964788732394366,0.9976525821596243,0.9964788732394366,0.9683098591549295,0.8509389671361502,0.9976525821596244
56,1.0,1.0,0.9988262910798122,0.9847417840375587,0.4683098591549296,0.9964788732394366
60,0.9976525821596244,0.9953051643192489,0.9953051643192489,0.9530516431924883,0.5410798122065728,0.9917840375586855
64,1.0,0.9953051643192488,0.9941314553990611,0.9847417840375587,0.517605633802817,0.9953051643192489
68,1.0,0.9976525821596244,0.9964788732394366,0.9870892018779343,0.19014084507042253,0.9976525821596244
72,1.0,1.0,1.0,0.937793427230047,0.3415492957746479,1.0
76,1.0,1.0,1.0,0.9964788732394366,0.6349765258215962,0.9976525821596244
80,0.9976525821596245,0.9929577464788732,0.9953051643192489,0.9800469483568075,0.7769953051643192,0.9906103286384977
84,0.9941314553990611,0.988262910798122,0.9988262910798122,0.9143192488262911,0.6220657276995305,0.9964788732394366
88,0.9988262910798124,0.9953051643192489,0.9964788732394366,0.971830985915493,0.6056338028169015,0.9964788732394366
92,0.9988262910798122,0.9870892018779344,0.9906103286384977,0.9061032863849766,0.35093896713615025,0.9906103286384976
96,0.9976525821596244,1.0,0.9988262910798122,0.9143192488262911,0.6091549295774648,0.9976525821596244
100,1.0,0.9941314553990611,0.9953051643192489,0.942488262910798,0.5481220657276995,0.9870892018779343
104,1.0,0.9906103286384976,1.0,0.9636150234741785,0.28873239436619713,0.9953051643192489
108,1.0,0.9976525821596244,0.9988262910798122,0.9471830985915493,0.41431924882629106,0.9988262910798122
112,0.9976525821596244,1.0,0.9976525821596244,0.897887323943662,0.3157276995305164,0.9964788732394366
116,1.0,0.9730046948356808,0.9812206572769953,0.9025821596244131,0.48591549295774644,0.977699530516432
120,0.9999999999999999,0.9953051643192488,1.0,0.9671361502347418,0.5551643192488264,0.9941314553990611
124,1.0,0.9964788732394366,0.9953051643192489,0.9354460093896714,0.4424882629107981,1.0
128,1.0,1.0,1.0,0.9049295774647886,0.2676056338028169,0.9976525821596244
132,1.0,0.9988262910798122,0.9964788732394366,0.9131455399061034,0.465962441314554,0.9964788732394366
136,1.0,0.9953051643192488,1.0,0.9178403755868545,0.17488262910798125,0.9894366197183098
140,0.9976525821596245,0.9894366197183099,0.988262910798122,0.8403755868544601,0.312206572769953,0.9953051643192489
144,0.9988262910798122,1.0,1.0,0.9237089201877935,0.25469483568075113,1.0
148,1.0,0.9988262910798122,0.9964788732394366,0.8767605633802817,0.3368544600938967,0.9988262910798122
152,0.9976525821596245,0.9976525821596244,0.9988262910798122,0.8497652582159624,0.27112676056338025,0.9988262910798122
156,1.0,0.9917840375586854,0.9953051643192489,0.9471830985915493,0.21009389671361506,0.9964788732394366
160,0.9988262910798122,0.9906103286384977,0.9917840375586855,0.8568075117370891,0.08920187793427228,0.9929577464788732
164,0.9917840375586855,0.9870892018779343,0.9906103286384977,0.9178403755868545,0.16549295774647887,0.9941314553990611
168,0.9929577464788732,0.9964788732394366,0.9976525821596244,0.9166666666666667,0.15023474178403753,0.9953051643192489
172,1.0,0.9988262910798122,0.9988262910798122,0.954225352112676,0.12793427230046944,0.9964788732394366
176,1.0,0.9647887323943662,0.9683098591549295,0.6373239436619718,0.38732394366197176,0.9917840375586855
180,0.9988262910798122,0.9976525821596244,0.9964788732394366,0.9166666666666667,0.12793427230046947,0.9953051643192489
184,1.0,0.9917840375586854,0.9894366197183099,0.863849765258216,0.15375586854460094,0.9917840375586855
188,1.0,1.0,1.0,0.9424882629107981,0.22183098591549297,0.9976525821596244
192,1.0,0.9929577464788731,0.9941314553990611,0.892018779342723,0.07746478873239436,0.9976525821596244
196,1.0,0.9988262910798122,1.0,0.9248826291079812,0.1619718309859155,0.9964788732394366
200,1.0,0.9847417840375586,0.9906103286384977,0.7969483568075116,0.215962441314554,0.9870892018779343
